section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4,description_5,description_6,description_7,description_8
education,TRUE,Doctoral Candidate in Biostatistics,"Taipei, Taiwan",_National Taiwan University - College of Public Health - Institute of Epidemiology and Preventive Medicine_,2019,present,"**Attended Courses:** _Mathematical Statistics_, _Statistical Analysis for Repeated Measurements_, _Statistical and Machine Learning_",**Proposed research project:** Identification of Genetic-based Prognostic Biomarkers via Next-generation Sequencing Data for Cancer Patients,**Scholarship:** Taiwanese Excellent Doctor scholarship (2019-2023),**Advisor:** Dr Tzu-Pin Lu,**Current GPA:** 4.00/4.30,,,
education,TRUE,Master in Biotechnology,"Newcastle, United Kingdom",_Newcastle University - School of Natural and Environmental Sciences _,2014,2015,Graduate Program in _Industrial and Commercial Biotechnology_,**Grade:** Merit,**Dissertation:**Ribosome engineering to improve antimicrobial production,**Advisor:** Dr James Stach,,,,
education,TRUE,Master in Chemical Engineering,"Chiayi, Taiwan",_National Chung Cheng University - College of Engineering_,2010,2013,**GPA:** 4.24/5.0,**Dissertation:** The Differentiation of Domapinergic Neurons from Bone Marrow-Derived Mesenchymal Stem Cells Modified by DNA Target Methylation,**Advisor:** Professor Wen-Chien Lee,,,,,
education,TRUE,Bachelor in Chemical engineering,"Chiayi, Taiwan",_National Chung Cheng University - College of Engineering_,2006,2010,**GPA:** 3.73/5.0,,,,,,,
work_experience,TRUE,Research Assistant,"Taipei, Taiwan",_Bioinformatics and Biostatistics Core Lab - Center of Genomic and Precision Medicine - National Taiwan University_,2016,2019,Analyszed different types of microarray and sequencing data,Built customized analytical pipelines and reports,Literature reviews and academic writing,,,,,
research_experience,TRUE,Research Assistant (dry lab experience),"Taipei, Taiwan",_Bioinformatics and Biostatistics Core Lab - Center of Genomic and Precision Medicine - National Taiwan University_,2016,2019,"Conducted the reference-based mRNA-seq data analysis in terms of differential expression, variant discovery and fusion gene detection ","Also had experience in other types of RNA-seq data analysis, such as microRNA, lncRNA or circRNA ",Applied machine learning (ML) approach to predict cancer type using proteomic data ,Conducted an integrated analysis using both RNA-seq and ChIP/ATAC-seq data to understand the regulation mechanism in different T-cell types ,Identified germline or somatic mutations and CNV detection from whole-exome sequencing data using GATK3/4 pipeline for cancer research ,Integrated in-silico neoantigen prediction tools and HLA-typing software in cancer immunotherapy for customized vaccine design ,Utilized A5-miseq assembly pipeline to construct a single-strand viral genome for the discovery of point mutation after several generation,Analyzed 16s rRNA/ITS amplicon sequencing data using QIIME1/2 pipeline to study microbial communities under different conditions 
research_experience,TRUE,Masters Research (wet lab experience + dry lab experience),"Newcastle, United Kingdom",_Newcastle University - School of Natural and Environmental Sciences _,2014,2015,Applied ribosome engineering approach to improve the production of antibiotic compounds in one of the novel marine bacteria,Identified point mutation caused by antibiotic treatment using bioinformatics tool,Evaluated antimicrobial activity and predicted the mode of action,,,,,
research_experience,TRUE,Masters Research (wet lab experience),"Chiayi, Taiwan",_National Chung Cheng University - College of Engineering_,2010,2013,"Utilized molecular technologies, such as gel-based RT-PCR, real-time RT-PCR to evaluate whether the genes related to neural development were increased after neural induction in mesenchymal stem cell",Used flow cytometry and western blot to detect the expression of neural proteins,,,,,,
research_experience,TRUE,Course Project,"Taipei, Taiwan",_National Taiwan University - College of Public Health - Institute of Epidemiology and Preventive Medicine_,2021,2021,**Course Name:** Statistical and Machine Learning ,**Course instructor:** Dr Charlotte Wang,**Practical Project:** Stock Trend Prediction using Machine Learning Algorithms,**Project Link:** http://www.ywhsiao.com/2021-Spring-EPM-7012-Statistical-and-Machine-Learning/,,,,
academic_articles,TRUE,[Race-Specific Genetic Profiles of Homologous Recombination Deficiency in Multiple Cancers](https://doi.org/10.3390/jpm11121287),N/A,"_**Journal of Personalized Medicine**_ 2021, 11 (12), 1287.",2021,2021,"**YW Hsiao**, TP Lu",,,,,,,
